,run,graph,diameter,edge_density,nodes,edges,objective,algorithm
0,9,dolphins,3.0,0.5,12,33,edge_surplus,geneticAlgorithm
1,9,football,2.0,0.8611111111111112,9,31,edge_surplus,geneticAlgorithm
2,9,email-EU-core,2.0,0.5482456140350878,96,2500,edge_surplus,geneticAlgorithm
3,9,C-elegans-frontal,2.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,9,wiki-Vote,,0.0641025641025641,13,5,edge_surplus,geneticAlgorithm
0,0,dolphins,3.0,0.5,12,33,edge_surplus,geneticAlgorithm
0,7,dolphins,2.0,0.6111111111111112,9,22,edge_surplus,geneticAlgorithm
1,7,football,1.0,1.0,9,36,edge_surplus,geneticAlgorithm
2,7,email-EU-core,2.0,0.551590025165866,94,2411,edge_surplus,geneticAlgorithm
3,7,C-elegans-frontal,2.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,7,wiki-Vote,,0.0085470085470085,27,3,edge_surplus,geneticAlgorithm
0,6,dolphins,2.0,0.5,12,33,edge_surplus,geneticAlgorithm
1,6,football,2.0,0.8,11,44,edge_surplus,geneticAlgorithm
2,6,email-EU-core,2.0,0.5431701030927835,97,2529,edge_surplus,geneticAlgorithm
3,6,C-elegans-frontal,3.0,0.4725274725274725,14,43,edge_surplus,geneticAlgorithm
4,6,wiki-Vote,,0.0219780219780219,14,2,edge_surplus,geneticAlgorithm
0,1,dolphins,2.0,0.5,12,33,edge_surplus,geneticAlgorithm
1,1,football,2.0,0.6410256410256411,13,50,edge_surplus,geneticAlgorithm
2,1,email-EU-core,2.0,0.5469298245614035,96,2494,edge_surplus,geneticAlgorithm
3,1,C-elegans-frontal,2.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,1,wiki-Vote,,0.0261437908496732,18,4,edge_surplus,geneticAlgorithm
0,10,dolphins,3.0,0.5,12,33,edge_surplus,geneticAlgorithm
1,10,football,2.0,0.7777777777777778,10,35,edge_surplus,geneticAlgorithm
2,10,email-EU-core,2.0,0.5371344414054281,98,2553,edge_surplus,geneticAlgorithm
3,10,C-elegans-frontal,3.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,10,wiki-Vote,,0.0105263157894736,20,2,edge_surplus,geneticAlgorithm
0,8,dolphins,3.0,0.4743589743589743,13,37,edge_surplus,geneticAlgorithm
1,8,football,2.0,0.6410256410256411,13,50,edge_surplus,geneticAlgorithm
2,8,email-EU-core,2.0,0.5423109965635738,97,2525,edge_surplus,geneticAlgorithm
3,8,C-elegans-frontal,3.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,8,wiki-Vote,,0.023391812865497,19,4,edge_surplus,geneticAlgorithm
0,4,dolphins,2.0,0.5,12,33,edge_surplus,geneticAlgorithm
1,4,football,2.0,0.7272727272727273,12,48,edge_surplus,geneticAlgorithm
2,4,email-EU-core,2.0,0.5401632302405498,97,2515,edge_surplus,geneticAlgorithm
3,4,C-elegans-frontal,2.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,4,wiki-Vote,,0.0592885375494071,23,15,edge_surplus,geneticAlgorithm
0,3,dolphins,3.0,0.6388888888888888,9,23,edge_surplus,geneticAlgorithm
1,3,football,2.0,0.7272727272727273,12,48,edge_surplus,geneticAlgorithm
2,3,email-EU-core,2.0,0.5382302405498282,97,2506,edge_surplus,geneticAlgorithm
3,3,C-elegans-frontal,2.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,3,wiki-Vote,,0.0147058823529411,17,2,edge_surplus,geneticAlgorithm
0,2,dolphins,2.0,0.6111111111111112,9,22,edge_surplus,geneticAlgorithm
1,2,football,1.0,1.0,9,36,edge_surplus,geneticAlgorithm
2,2,email-EU-core,2.0,0.5475877192982456,96,2497,edge_surplus,geneticAlgorithm
3,2,C-elegans-frontal,2.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,2,wiki-Vote,,0.0441176470588235,17,6,edge_surplus,geneticAlgorithm
0,5,dolphins,2.0,0.5555555555555556,10,25,edge_surplus,geneticAlgorithm
1,5,football,1.0,1.0,9,36,edge_surplus,geneticAlgorithm
2,5,email-EU-core,2.0,0.5630673674151935,92,2357,edge_surplus,geneticAlgorithm
3,5,C-elegans-frontal,2.0,0.5333333333333333,15,56,edge_surplus,geneticAlgorithm
4,5,wiki-Vote,,0.0095238095238095,15,1,edge_surplus,geneticAlgorithm
0,9,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,geneticAlgorithm
1,9,football,1.0,1.0,9,36,modified_edge_surplus,geneticAlgorithm
2,9,email-EU-core,2.0,0.5418060200668896,92,2268,modified_edge_surplus,geneticAlgorithm
3,9,C-elegans-frontal,2.0,0.5384615384615384,13,42,modified_edge_surplus,geneticAlgorithm
4,9,wiki-Vote,,0.031578947368421,20,6,modified_edge_surplus,geneticAlgorithm
0,0,dolphins,3.0,0.4743589743589743,13,37,modified_edge_surplus,geneticAlgorithm
0,7,dolphins,2.0,0.5,12,33,modified_edge_surplus,geneticAlgorithm
1,7,football,1.0,1.0,9,36,modified_edge_surplus,geneticAlgorithm
2,7,email-EU-core,2.0,0.5287569573283859,99,2565,modified_edge_surplus,geneticAlgorithm
3,7,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,geneticAlgorithm
4,7,wiki-Vote,,0.0109890109890109,14,1,modified_edge_surplus,geneticAlgorithm
0,6,dolphins,2.0,0.5,12,33,modified_edge_surplus,geneticAlgorithm
1,6,football,1.0,1.0,9,36,modified_edge_surplus,geneticAlgorithm
2,6,email-EU-core,2.0,0.544179523141655,93,2328,modified_edge_surplus,geneticAlgorithm
3,6,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,geneticAlgorithm
4,6,wiki-Vote,,0.0421052631578947,20,8,modified_edge_surplus,geneticAlgorithm
0,1,dolphins,3.0,0.5,12,33,modified_edge_surplus,geneticAlgorithm
1,1,football,2.0,0.8888888888888888,10,40,modified_edge_surplus,geneticAlgorithm
2,1,email-EU-core,2.0,0.5341494845360825,97,2487,modified_edge_surplus,geneticAlgorithm
3,1,C-elegans-frontal,2.0,0.5333333333333333,15,56,modified_edge_surplus,geneticAlgorithm
4,1,wiki-Vote,,0.031578947368421,20,6,modified_edge_surplus,geneticAlgorithm
0,10,dolphins,3.0,0.4743589743589743,13,37,modified_edge_surplus,geneticAlgorithm
1,10,football,2.0,0.7777777777777778,10,35,modified_edge_surplus,geneticAlgorithm
2,10,email-EU-core,2.0,0.5674418604651162,86,2074,modified_edge_surplus,geneticAlgorithm
3,10,C-elegans-frontal,2.0,0.5333333333333333,15,56,modified_edge_surplus,geneticAlgorithm
4,10,wiki-Vote,,0.023391812865497,19,4,modified_edge_surplus,geneticAlgorithm
0,8,dolphins,2.0,0.5,12,33,modified_edge_surplus,geneticAlgorithm
1,8,football,2.0,0.7777777777777778,10,35,modified_edge_surplus,geneticAlgorithm
2,8,email-EU-core,2.0,0.5266147696191879,98,2503,modified_edge_surplus,geneticAlgorithm
3,8,C-elegans-frontal,2.0,0.5333333333333333,15,56,modified_edge_surplus,geneticAlgorithm
4,8,wiki-Vote,,0.0058479532163742,19,1,modified_edge_surplus,geneticAlgorithm
0,4,dolphins,2.0,0.5,12,33,modified_edge_surplus,geneticAlgorithm
1,4,football,2.0,0.8,11,44,modified_edge_surplus,geneticAlgorithm
2,4,email-EU-core,2.0,0.5508114856429464,90,2206,modified_edge_surplus,geneticAlgorithm
3,4,C-elegans-frontal,2.0,0.5333333333333333,15,56,modified_edge_surplus,geneticAlgorithm
4,4,wiki-Vote,,0.0316205533596837,23,8,modified_edge_surplus,geneticAlgorithm
0,3,dolphins,3.0,0.5,12,33,modified_edge_surplus,geneticAlgorithm
1,3,football,1.0,1.0,9,36,modified_edge_surplus,geneticAlgorithm
2,3,email-EU-core,2.0,0.5438114847860901,94,2377,modified_edge_surplus,geneticAlgorithm
3,3,C-elegans-frontal,2.0,0.5333333333333333,15,56,modified_edge_surplus,geneticAlgorithm
4,3,wiki-Vote,,0.0175438596491228,19,3,modified_edge_surplus,geneticAlgorithm
0,2,dolphins,3.0,0.6388888888888888,9,23,modified_edge_surplus,geneticAlgorithm
1,2,football,1.0,1.0,9,36,modified_edge_surplus,geneticAlgorithm
2,2,email-EU-core,2.0,0.5330587966140471,94,2330,modified_edge_surplus,geneticAlgorithm
3,2,C-elegans-frontal,2.0,0.5294117647058824,17,72,modified_edge_surplus,geneticAlgorithm
4,2,wiki-Vote,,0.0543478260869565,24,15,modified_edge_surplus,geneticAlgorithm
0,5,dolphins,2.0,0.6388888888888888,9,23,modified_edge_surplus,geneticAlgorithm
1,5,football,3.0,0.4967320261437908,18,76,modified_edge_surplus,geneticAlgorithm
2,5,email-EU-core,2.0,0.582731889869019,87,2180,modified_edge_surplus,geneticAlgorithm
3,5,C-elegans-frontal,2.0,0.5333333333333333,15,56,modified_edge_surplus,geneticAlgorithm
4,5,wiki-Vote,,0.023391812865497,19,4,modified_edge_surplus,geneticAlgorithm
0,9,dolphins,2.0,0.6,6,9,edge_surplus,localSearchOQC
1,9,football,1.0,1.0,9,36,edge_surplus,localSearchOQC
2,9,email-EU-core,2.0,0.5380333951762524,99,2610,edge_surplus,localSearchOQC
