,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,3.0,1.9409879031104464,9,23
1,dolphins,1,3.0,1.9409879031104464,9,23
2,dolphins,2,2.0,1.3999016926266425,6,10
3,dolphins,3,2.0,1.9409879031104464,9,23
4,dolphins,4,2.0,1.8965361405396128,9,22
5,dolphins,5,3.0,1.9409879031104464,9,23
6,dolphins,6,2.0,1.8965361405396128,9,22
7,dolphins,7,2.0,1.8183725314817418,7,17
8,dolphins,8,2.0,1.8965361405396128,9,22
9,dolphins,9,2.0,1.9409879031104464,9,23
10,football,0,2.0,2.2394808916664433,9,31
11,football,1,2.0,2.4199919575238296,10,40
12,football,2,2.0,2.3531017257031124,11,40
13,football,3,2.0,2.4199919575238296,10,40
14,football,4,2.0,2.4199919575238296,10,40
15,football,5,2.0,2.4199919575238296,10,40
16,football,6,1.0,2.389012625637407,9,36
17,football,7,2.0,2.2394808916664433,9,31
18,football,8,2.0,2.2394808916664433,9,31
19,football,9,1.0,1.8053668007348067,6,15
20,email-EU-core,0,,3.2913352741410886,23,170
21,email-EU-core,1,2.0,2.9874211847055867,17,102
22,email-EU-core,2,3.0,3.2162986845518375,22,153
23,email-EU-core,3,2.0,3.329618611450721,21,166
24,email-EU-core,4,2.0,2.9788803975760345,16,97
25,email-EU-core,5,3.0,3.2796109639661646,22,163
26,email-EU-core,6,2.0,3.3788176140496127,22,180
27,email-EU-core,7,2.0,3.0938719840015203,18,118
28,email-EU-core,8,2.0,3.332396340930968,20,161
29,email-EU-core,9,2.0,3.182999763897527,18,129
30,C-elegans-frontal,0,2.0,2.1607298330556564,11,33
31,C-elegans-frontal,1,2.0,2.098209476074323,11,31
32,C-elegans-frontal,2,2.0,2.0315181015756503,11,29
33,C-elegans-frontal,3,2.0,2.024369512049497,9,25
34,C-elegans-frontal,4,2.0,1.9835475175292425,9,24
35,C-elegans-frontal,5,2.0,2.024369512049497,9,25
36,C-elegans-frontal,6,2.0,2.327783917718823,11,39
37,C-elegans-frontal,7,2.0,2.1323098850720488,10,30
38,C-elegans-frontal,8,2.0,2.376405120925898,13,46
39,C-elegans-frontal,9,2.0,2.2477412100452865,11,36
40,amazon0302,0,0.0,0.0,1,0
41,amazon0302,1,0.0,0.0,1,0
42,amazon0302,2,0.0,0.0,1,0
43,amazon0302,3,0.0,0.0,1,0
44,amazon0302,4,0.0,0.0,1,0
45,amazon0302,5,0.0,0.0,1,0
46,amazon0302,6,0.0,0.0,1,0
47,amazon0302,7,0.0,0.0,1,0
48,amazon0302,8,0.0,0.0,1,0
49,amazon0302,9,0.0,0.0,1,0
