,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,3,1.9409879031104464,9,23
1,dolphins,1,2,1.8183725314817418,7,17
2,dolphins,2,3,1.9409879031104464,9,23
3,dolphins,3,3,1.9409879031104464,9,23
4,dolphins,4,2,2.0999559807910053,12,33
5,dolphins,5,2,1.8965361405396128,9,22
6,dolphins,6,3,1.9409879031104464,9,23
7,dolphins,7,2,2.0999559807910053,12,33
8,dolphins,8,2,1.9409879031104464,9,23
9,dolphins,9,2,1.9409879031104464,9,23
10,football,0,1,2.389012625637407,9,36
11,football,1,2,2.4746494302324162,12,48
12,football,2,1,2.389012625637407,9,36
13,football,3,2,2.2394808916664433,9,31
14,football,4,1,2.389012625637407,9,36
15,football,5,1,2.389012625637407,9,36
16,football,6,1,2.389012625637407,9,36
17,football,7,1,2.389012625637407,9,36
18,football,8,2,2.286460564899307,10,35
19,football,9,2,2.4199919575238296,10,40
20,email-EU-core,0,2,3.802069279459201,36,384
21,email-EU-core,1,3,3.5989021624911106,30,277
22,email-EU-core,2,2,3.5700363123105205,29,263
23,email-EU-core,3,2,3.708225933201518,30,309
24,email-EU-core,4,3,3.765023762344465,34,356
25,email-EU-core,5,2,3.8588005914778005,34,391
26,email-EU-core,6,3,3.5935191904190003,26,250
27,email-EU-core,7,2,3.7964052702147355,33,360
28,email-EU-core,8,2,3.4445672936957976,27,221
29,email-EU-core,9,2,3.8265033013720147,33,371
30,C-elegans-frontal,0,2,2.498513981294752,16,60
31,C-elegans-frontal,1,2,2.6391144904373713,17,72
32,C-elegans-frontal,2,2,2.098209476074323,11,31
33,C-elegans-frontal,3,2,2.4740315740159753,15,56
34,C-elegans-frontal,4,2,2.411502604305123,16,55
35,C-elegans-frontal,5,2,2.6391144904373713,17,72
36,C-elegans-frontal,6,3,2.4740315740159753,15,56
37,C-elegans-frontal,7,2,2.593824161099077,16,66
38,C-elegans-frontal,8,2,1.9892090414313757,10,26
39,C-elegans-frontal,9,2,2.285433342720171,13,42
