,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,8,2.5539505126674125,62,159
1,dolphins,1,8,2.5539505126674125,62,159
2,dolphins,2,8,2.5539505126674125,62,159
3,dolphins,3,8,2.5539505126674125,62,159
4,dolphins,4,8,2.5539505126674125,62,159
5,dolphins,5,8,2.5539505126674125,62,159
6,dolphins,6,8,2.5539505126674125,62,159
7,dolphins,7,8,2.5539505126674125,62,159
8,dolphins,8,8,2.5539505126674125,62,159
9,dolphins,9,8,2.5539505126674125,62,159
10,football,0,4,3.4890371372036117,115,613
11,football,1,4,3.4890371372036117,115,613
12,football,2,4,3.4890371372036117,115,613
13,football,3,4,3.4890371372036117,115,613
14,football,4,4,3.4890371372036117,115,613
15,football,5,4,3.4890371372036117,115,613
16,football,6,4,3.4890371372036117,115,613
17,football,7,4,3.4890371372036117,115,613
18,football,8,4,3.4890371372036117,115,613
19,football,9,4,3.4890371372036117,115,613
20,email-EU-core,0,4,2.4908988803533525,26,83
21,email-EU-core,1,4,2.5254217556058394,33,101
22,email-EU-core,2,5,2.251097211569011,27,67
23,email-EU-core,3,5,2.3895463860930644,26,75
24,email-EU-core,4,5,2.8096693444561365,44,163
25,email-EU-core,5,4,2.9999615651858216,49,212
26,email-EU-core,6,4,2.4556845953374706,20,67
27,email-EU-core,7,6,2.211212453894552,22,56
28,email-EU-core,8,5,2.832469422134132,41,159
29,email-EU-core,9,4,2.2125959731313745,17,47
30,C-elegans-frontal,0,5,3.5158060945234197,131,687
31,C-elegans-frontal,1,6,3.5158060945234197,131,687
32,C-elegans-frontal,2,6,3.5158060945234197,131,687
33,C-elegans-frontal,3,6,3.5158060945234197,131,687
34,C-elegans-frontal,4,5,3.5158060945234197,131,687
35,C-elegans-frontal,5,6,3.5158060945234197,131,687
36,C-elegans-frontal,6,6,3.5158060945234197,131,687
37,C-elegans-frontal,7,6,3.5158060945234197,131,687
38,C-elegans-frontal,8,6,3.5158060945234197,131,687
39,C-elegans-frontal,9,6,3.5158060945234197,131,687
