,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,3,1.9409879031104464,9,23
1,dolphins,1,2,1.8965361405396128,9,22
2,dolphins,2,3,1.9409879031104464,9,23
3,dolphins,3,2,1.8965361405396128,9,22
4,dolphins,4,2,1.9409879031104464,9,23
5,dolphins,5,2,1.9409879031104464,9,23
6,dolphins,6,2,1.8183725314817418,7,17
7,dolphins,7,2,1.949988328278094,10,25
8,dolphins,8,3,1.9409879031104464,9,23
9,dolphins,9,2,1.8965361405396128,9,22
10,football,0,1,2.389012625637407,9,36
11,football,1,2,2.4746494302324162,12,48
12,football,2,1,2.389012625637407,9,36
13,football,3,1,2.389012625637407,9,36
14,football,4,1,2.389012625637407,9,36
15,football,5,2,2.4746494302324162,12,48
16,football,6,1,2.389012625637407,9,36
17,football,7,2,2.2394808916664433,9,31
18,football,8,2,2.2394808916664433,9,31
19,football,9,1,2.389012625637407,9,36
20,email-EU-core,0,2,3.13028570883023,21,136
21,email-EU-core,1,2,2.968517610540488,16,96
22,email-EU-core,2,2,3.0629287372137326,17,110
23,email-EU-core,3,2,3.0629287372137326,17,110
24,email-EU-core,4,2,2.8510847411534557,17,89
25,email-EU-core,5,2,2.9484895536110907,15,90
26,email-EU-core,6,2,2.8431290379532648,15,81
27,email-EU-core,7,2,2.796258966486162,13,70
28,email-EU-core,8,2,2.9145880019354093,15,87
29,email-EU-core,9,2,2.663891429870944,12,58
30,C-elegans-frontal,0,2,2.024369512049497,9,25
31,C-elegans-frontal,1,3,2.063317013585097,10,28
32,C-elegans-frontal,2,2,2.317020486028833,12,41
33,C-elegans-frontal,3,2,2.1607298330556564,11,33
34,C-elegans-frontal,4,2,2.285433342720171,13,42
35,C-elegans-frontal,5,2,2.186967357780635,12,36
36,C-elegans-frontal,6,2,2.308963840130365,13,43
37,C-elegans-frontal,7,2,1.9835475175292425,9,24
38,C-elegans-frontal,8,2,2.063317013585097,10,28
39,C-elegans-frontal,9,2,2.0984083333963675,10,29
