,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,3.0,1.9409879031104464,9,23
1,dolphins,1,2.0,1.9409879031104464,9,23
2,dolphins,2,3.0,1.9409879031104464,9,23
3,dolphins,3,2.0,1.8183725314817418,7,17
4,dolphins,4,3.0,1.9409879031104464,9,23
5,dolphins,5,2.0,1.9409879031104464,9,23
6,dolphins,6,2.0,1.8965361405396128,9,22
7,dolphins,7,3.0,1.9409879031104464,9,23
8,dolphins,8,2.0,1.8965361405396128,9,22
9,dolphins,9,3.0,1.9409879031104464,9,23
10,football,0,1.0,2.389012625637407,9,36
11,football,1,1.0,2.389012625637407,9,36
12,football,2,1.0,2.389012625637407,9,36
13,football,3,2.0,2.4746494302324162,12,48
14,football,4,1.0,2.389012625637407,9,36
15,football,5,1.0,2.389012625637407,9,36
16,football,6,1.0,2.389012625637407,9,36
17,football,7,1.0,2.389012625637407,9,36
18,football,8,2.0,2.3531017257031124,11,40
19,football,9,2.0,2.4395840225474292,13,49
20,email-EU-core,0,2.0,3.103022239866122,20,128
21,email-EU-core,1,2.0,2.6023135143177845,10,48
22,email-EU-core,2,2.0,2.7304866690916434,14,69
23,email-EU-core,3,2.0,2.689573962324326,11,56
24,email-EU-core,4,2.0,2.3857727247414124,8,33
25,email-EU-core,5,,3.0681194878991054,18,115
26,email-EU-core,6,2.0,2.927196963337697,14,84
27,email-EU-core,7,2.0,2.9145880019354093,15,87
28,email-EU-core,8,2.0,2.535274052048851,12,51
29,email-EU-core,9,,2.937159349924699,17,97
30,C-elegans-frontal,0,2.0,2.4189717968329476,15,53
31,C-elegans-frontal,1,2.0,2.387638053242786,12,44
32,C-elegans-frontal,2,2.0,2.024369512049497,9,25
33,C-elegans-frontal,3,2.0,2.024369512049497,9,25
34,C-elegans-frontal,4,2.0,1.9835475175292425,9,24
35,C-elegans-frontal,5,2.0,1.9835475175292425,9,24
36,C-elegans-frontal,6,2.0,2.3411180376078935,12,42
37,C-elegans-frontal,7,2.0,2.3646485350180875,12,43
38,C-elegans-frontal,8,2.0,1.9835475175292425,9,24
39,C-elegans-frontal,9,2.0,2.0315181015756503,11,29
