,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,2.0,0.789041204710539,4,4
1,dolphins,1,3.0,0.8419095481027516,5,5
2,dolphins,2,3.0,0.8419095481027516,5,5
3,dolphins,3,3.0,1.0432267486879099,6,7
4,dolphins,4,3.0,1.0432267486879099,6,7
5,dolphins,5,3.0,0.8419095481027516,5,5
6,dolphins,6,3.0,0.8419095481027516,5,5
7,dolphins,7,3.0,0.8419095481027516,5,5
8,dolphins,8,3.0,1.0432267486879099,6,7
9,dolphins,9,2.0,0.789041204710539,4,4
10,dolphins,10,3.0,0.8419095481027516,5,5
11,dolphins,11,3.0,0.8419095481027516,5,5
12,dolphins,12,3.0,0.8419095481027516,5,5
13,dolphins,13,3.0,0.8419095481027516,5,5
14,dolphins,14,3.0,1.0432267486879099,6,7
15,dolphins,15,3.0,0.8419095481027516,5,5
16,dolphins,16,3.0,0.8419095481027516,5,5
17,dolphins,17,2.0,0.789041204710539,4,4
18,dolphins,18,3.0,0.8419095481027516,5,5
19,dolphins,19,3.0,0.8419095481027516,5,5
20,dolphins,20,3.0,1.0432267486879099,6,7
21,dolphins,21,3.0,1.0432267486879099,6,7
22,dolphins,22,3.0,0.8419095481027516,5,5
23,dolphins,23,3.0,0.8419095481027516,5,5
24,dolphins,24,3.0,0.8419095481027516,5,5
25,dolphins,25,3.0,1.0432267486879099,6,7
26,dolphins,26,3.0,0.8419095481027516,5,5
27,dolphins,27,3.0,0.8419095481027516,5,5
28,dolphins,28,3.0,1.0432267486879099,6,7
29,dolphins,29,2.0,0.789041204710539,4,4
30,football,0,,0.5013591322587582,4,3
31,football,1,0.0,0.0,1,0
32,football,2,,0.09589402415059367,4,2
33,football,3,1.0,0.0,2,1
34,football,4,0.0,0.0,1,0
35,football,5,,0.6187659967885419,5,4
36,football,6,0.0,0.0,1,0
37,football,7,0.0,0.0,1,0
38,football,8,0.0,0.0,1,0
39,football,9,0.0,0.0,1,0
40,football,10,,-0.3662040962227032,3,1
41,football,11,0.0,0.0,1,0
42,football,12,,0.09589402415059367,4,2
43,football,13,0.0,0.0,1,0
44,football,14,0.0,0.0,1,0
45,football,15,0.0,0.0,1,0
46,football,16,3.0,0.5013591322587582,4,3
47,football,17,0.0,0.0,1,0
48,football,18,0.0,0.0,1,0
49,football,19,3.0,0.5013591322587582,4,3
50,football,20,,0.09589402415059367,4,2
51,football,21,,0.09589402415059367,4,2
52,football,22,,0.09589402415059367,4,2
53,football,23,0.0,0.0,1,0
54,football,24,0.0,0.0,1,0
55,football,25,0.0,0.0,1,0
56,football,26,1.0,0.0,2,1
57,football,27,,-0.3662040962227032,3,1
58,football,28,0.0,0.0,1,0
59,football,29,1.0,0.0,2,1
60,email-EU-core,0,2.0,4.903920977096126,95,2220
61,email-EU-core,1,2.0,4.903920977096126,95,2220
62,email-EU-core,2,2.0,4.903920977096126,95,2220
63,email-EU-core,3,2.0,4.903920977096126,95,2220
64,email-EU-core,4,2.0,4.903920977096126,95,2220
65,email-EU-core,5,2.0,4.903920977096126,95,2220
66,email-EU-core,6,2.0,4.893289734580525,94,2181
67,email-EU-core,7,2.0,4.893289734580525,94,2181
68,email-EU-core,8,2.0,4.903920977096126,95,2220
69,email-EU-core,9,2.0,4.923691137587599,98,2312
70,email-EU-core,10,2.0,4.923691137587599,98,2312
71,email-EU-core,11,2.0,4.903920977096126,95,2220
72,email-EU-core,12,2.0,4.903920977096126,95,2220
73,email-EU-core,13,2.0,4.923691137587599,98,2312
74,email-EU-core,14,2.0,4.903920977096126,95,2220
75,email-EU-core,15,2.0,4.923691137587599,98,2312
76,email-EU-core,16,2.0,4.903920977096126,95,2220
77,email-EU-core,17,2.0,4.903920977096126,95,2220
78,email-EU-core,18,2.0,4.903920977096126,95,2220
79,email-EU-core,19,3.0,4.903920977096126,95,2220
80,email-EU-core,20,2.0,4.893289734580525,94,2181
81,email-EU-core,21,2.0,4.903920977096126,95,2220
82,email-EU-core,22,2.0,4.903920977096126,95,2220
83,email-EU-core,23,2.0,4.923691137587599,98,2312
84,email-EU-core,24,2.0,4.903920977096126,95,2220
85,email-EU-core,25,2.0,4.923691137587599,98,2312
86,email-EU-core,26,2.0,4.893289734580525,94,2181
87,email-EU-core,27,3.0,4.903920977096126,95,2220
88,email-EU-core,28,3.0,4.923691137587599,98,2312
89,email-EU-core,29,2.0,4.893289734580525,94,2181
90,C-elegans-frontal,0,4.0,1.6755514825763338,10,19
91,C-elegans-frontal,1,4.0,1.8615449573460072,12,26
92,C-elegans-frontal,2,3.0,1.578082409421078,9,16
93,C-elegans-frontal,3,4.0,1.981750928921949,13,31
94,C-elegans-frontal,4,2.0,1.578082409421078,9,16
95,C-elegans-frontal,5,4.0,1.8615449573460072,12,26
96,C-elegans-frontal,6,4.0,1.981750928921949,13,31
97,C-elegans-frontal,7,3.0,1.578082409421078,9,16
98,C-elegans-frontal,8,4.0,1.6755514825763338,10,19
99,C-elegans-frontal,9,4.0,1.6755514825763338,10,19
100,C-elegans-frontal,10,4.0,1.8615449573460072,12,26
101,C-elegans-frontal,11,4.0,1.981750928921949,13,31
102,C-elegans-frontal,12,3.0,1.578082409421078,9,16
103,C-elegans-frontal,13,3.0,1.578082409421078,9,16
104,C-elegans-frontal,14,4.0,1.6755514825763338,10,19
105,C-elegans-frontal,15,4.0,1.6755514825763338,10,19
106,C-elegans-frontal,16,3.0,1.578082409421078,9,16
107,C-elegans-frontal,17,4.0,1.981750928921949,13,31
108,C-elegans-frontal,18,4.0,1.6755514825763338,10,19
109,C-elegans-frontal,19,3.0,1.578082409421078,9,16
110,C-elegans-frontal,20,4.0,1.6755514825763338,10,19
111,C-elegans-frontal,21,3.0,1.578082409421078,9,16
112,C-elegans-frontal,22,3.0,1.578082409421078,9,16
113,C-elegans-frontal,23,4.0,1.6755514825763338,10,19
114,C-elegans-frontal,24,2.0,1.578082409421078,9,16
115,C-elegans-frontal,25,4.0,1.6755514825763338,10,19
116,C-elegans-frontal,26,3.0,1.578082409421078,9,16
117,C-elegans-frontal,27,4.0,1.8615449573460072,12,26
118,C-elegans-frontal,28,3.0,1.578082409421078,9,16
119,C-elegans-frontal,29,3.0,1.578082409421078,9,16
120,amazon0302,0,0.0,0.0,1,0
121,amazon0302,1,0.0,0.0,1,0
122,amazon0302,2,0.0,0.0,1,0
123,amazon0302,3,0.0,0.0,1,0
124,amazon0302,4,0.0,0.0,1,0
125,amazon0302,5,0.0,0.0,1,0
126,amazon0302,6,0.0,0.0,1,0
127,amazon0302,7,0.0,0.0,1,0
128,amazon0302,8,0.0,0.0,1,0
129,amazon0302,9,0.0,0.0,1,0
130,amazon0302,10,0.0,0.0,1,0
131,amazon0302,11,0.0,0.0,1,0
132,amazon0302,12,0.0,0.0,1,0
133,amazon0302,13,0.0,0.0,1,0
134,amazon0302,14,0.0,0.0,1,0
135,amazon0302,15,0.0,0.0,1,0
136,amazon0302,16,0.0,0.0,1,0
137,amazon0302,17,0.0,0.0,1,0
138,amazon0302,18,0.0,0.0,1,0
139,amazon0302,19,0.0,0.0,1,0
140,amazon0302,20,0.0,0.0,1,0
141,amazon0302,21,0.0,0.0,1,0
142,amazon0302,22,0.0,0.0,1,0
143,amazon0302,23,0.0,0.0,1,0
144,amazon0302,24,0.0,0.0,1,0
145,amazon0302,25,0.0,0.0,1,0
146,amazon0302,26,0.0,0.0,1,0
147,amazon0302,27,0.0,0.0,1,0
148,amazon0302,28,0.0,0.0,1,0
149,amazon0302,29,0.0,0.0,1,0
