,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,2,1.2945411769688162,6,9
1,dolphins,1,2,1.3999016926266425,6,10
2,dolphins,2,3,1.8965361405396128,9,22
3,dolphins,3,2,1.8183725314817418,7,17
4,dolphins,4,2,1.2945411769688162,6,9
5,dolphins,5,2,1.3999016926266425,6,10
6,dolphins,6,3,1.6958654450774613,9,18
7,dolphins,7,3,1.9409879031104464,9,23
8,dolphins,8,2,1.3999016926266425,6,10
9,dolphins,9,2,1.2945411769688162,6,9
10,dolphins,10,2,1.2945411769688162,6,9
11,dolphins,11,3,1.6958654450774613,9,18
12,dolphins,12,3,1.9409879031104464,9,23
13,dolphins,13,3,1.9409879031104464,9,23
14,dolphins,14,3,1.8965361405396128,9,22
15,dolphins,15,3,1.9409879031104464,9,23
16,dolphins,16,3,1.5283224928901906,8,14
17,dolphins,17,3,1.8965361405396128,9,22
18,dolphins,18,2,1.2945411769688162,6,9
19,dolphins,19,3,1.9409879031104464,9,23
20,dolphins,20,2,1.8183725314817418,7,17
21,dolphins,21,2,1.8183725314817418,7,17
22,dolphins,22,2,1.2945411769688162,6,9
23,dolphins,23,3,1.9409879031104464,9,23
24,dolphins,24,2,1.8183725314817418,7,17
25,dolphins,25,3,1.9409879031104464,9,23
26,dolphins,26,3,1.8965361405396128,9,22
27,dolphins,27,3,1.6958654450774613,9,18
28,dolphins,28,2,1.2945411769688162,6,9
29,dolphins,29,3,1.9409879031104464,9,23
30,football,0,1,2.389012625637407,9,36
31,football,1,1,2.389012625637407,9,36
32,football,2,2,2.448411905507437,11,44
33,football,3,2,2.2394808916664433,9,31
34,football,4,2,2.2394808916664433,9,31
35,football,5,1,2.389012625637407,9,36
36,football,6,2,2.2394808916664433,9,31
37,football,7,2,2.2394808916664433,9,31
38,football,8,1,2.389012625637407,9,36
39,football,9,2,2.2394808916664433,9,31
40,football,10,2,2.4597867298649487,13,50
41,football,11,1,2.389012625637407,9,36
42,football,12,1,2.389012625637407,9,36
43,football,13,1,2.389012625637407,9,36
44,football,14,2,2.448411905507437,11,44
45,football,15,1,2.389012625637407,9,36
46,football,16,2,2.2394808916664433,9,31
47,football,17,2,2.2394808916664433,9,31
48,football,18,2,2.2394808916664433,9,31
49,football,19,1,2.389012625637407,9,36
50,football,20,1,2.389012625637407,9,36
51,football,21,2,2.206691068843452,9,30
52,football,22,3,2.6539206998221863,18,76
53,football,23,1,2.389012625637407,9,36
54,football,24,2,2.2394808916664433,9,31
55,football,25,1,2.389012625637407,9,36
56,football,26,2,2.448411905507437,11,44
57,football,27,1,2.389012625637407,9,36
58,football,28,2,2.2394808916664433,9,31
59,football,29,2,2.2394808916664433,9,31
60,email-EU-core,0,2,5.038125450901667,99,2610
61,email-EU-core,1,2,5.038125450901667,99,2610
62,email-EU-core,2,2,5.038125450901667,99,2610
63,email-EU-core,3,2,5.038125450901667,99,2610
64,email-EU-core,4,2,5.0369753645184305,99,2607
65,email-EU-core,5,2,5.038125450901667,99,2610
66,email-EU-core,6,2,5.0369753645184305,99,2607
67,email-EU-core,7,2,5.038125450901667,99,2610
68,email-EU-core,8,2,5.038125450901667,99,2610
69,email-EU-core,9,2,5.038125450901667,99,2610
70,email-EU-core,10,2,5.0369753645184305,99,2607
71,email-EU-core,11,2,5.038125450901667,99,2610
72,email-EU-core,12,2,5.038125450901667,99,2610
73,email-EU-core,13,2,5.038125450901667,99,2610
74,email-EU-core,14,2,5.0369753645184305,99,2607
75,email-EU-core,15,2,5.038125450901667,99,2610
76,email-EU-core,16,2,5.038125450901667,99,2610
77,email-EU-core,17,2,5.038125450901667,99,2610
78,email-EU-core,18,2,5.038125450901667,99,2610
79,email-EU-core,19,2,5.0369753645184305,99,2607
80,email-EU-core,20,2,5.038125450901667,99,2610
81,email-EU-core,21,2,5.0369753645184305,99,2607
82,email-EU-core,22,2,5.038125450901667,99,2610
83,email-EU-core,23,2,5.038125450901667,99,2610
84,email-EU-core,24,2,5.038125450901667,99,2610
85,email-EU-core,25,2,5.0369753645184305,99,2607
86,email-EU-core,26,2,5.038125450901667,99,2610
87,email-EU-core,27,2,5.0369753645184305,99,2607
88,email-EU-core,28,2,5.038125450901667,99,2610
89,email-EU-core,29,2,5.038125450901667,99,2610
90,C-elegans-frontal,0,2,1.8500161249047198,9,21
91,C-elegans-frontal,1,3,1.8500161249047198,9,21
92,C-elegans-frontal,2,3,2.1298089439406866,12,34
93,C-elegans-frontal,3,2,2.1298089439406866,12,34
94,C-elegans-frontal,4,3,1.8500161249047198,9,21
95,C-elegans-frontal,5,3,2.1298089439406866,12,34
96,C-elegans-frontal,6,2,1.8500161249047198,9,21
97,C-elegans-frontal,7,2,2.1298089439406866,12,34
98,C-elegans-frontal,8,2,1.8500161249047198,9,21
99,C-elegans-frontal,9,3,2.1298089439406866,12,34
100,C-elegans-frontal,10,2,1.8500161249047198,9,21
101,C-elegans-frontal,11,3,2.1298089439406866,12,34
102,C-elegans-frontal,12,3,1.8500161249047198,9,21
103,C-elegans-frontal,13,2,2.6391144904373713,17,72
104,C-elegans-frontal,14,3,2.319880894188717,15,48
105,C-elegans-frontal,15,2,2.6391144904373713,17,72
106,C-elegans-frontal,16,3,1.8500161249047198,9,21
107,C-elegans-frontal,17,3,1.8500161249047198,9,21
108,C-elegans-frontal,18,2,2.559553747454137,15,61
109,C-elegans-frontal,19,3,2.319880894188717,15,48
110,C-elegans-frontal,20,2,2.6391144904373713,17,72
111,C-elegans-frontal,21,2,2.6391144904373713,17,72
112,C-elegans-frontal,22,2,2.6391144904373713,17,72
113,C-elegans-frontal,23,2,2.6391144904373713,17,72
114,C-elegans-frontal,24,2,2.1298089439406866,12,34
115,C-elegans-frontal,25,2,2.1298089439406866,12,34
116,C-elegans-frontal,26,2,2.1298089439406866,12,34
117,C-elegans-frontal,27,2,2.6391144904373713,17,72
118,C-elegans-frontal,28,3,2.1298089439406866,12,34
119,C-elegans-frontal,29,3,2.236643178550739,13,40
